customer_id,age,gender,location,professional_status,product_category,product_type,use_case,saas_driver,sale_date,units_sold
CUST-0335,28,Female,Burlington VT,Student / Academic,Peripheral,Charging Dock,Clinical Stations,FleetCharge Pro,1/1/2024,2
CUST-0108,39,Non-binary,Providence RI,Clinical Administrator,Peripheral,Wireless Hub,Data Aggregation,ClinicHub Pro,1/1/2024,4
CUST-0203,54,Female,Springfield MA,Practice Manager,Tablet,Tab Pro 12,Clinical Documentation,ClinicalOS,1/1/2024,2
CUST-0332,19,Female,Manchester NH,Student / Academic,Peripheral,Wireless Hub,Device Pairing,ClinicHub Pro,1/1/2024,3
CUST-0369,33,Female,Providence RI,IT & Technology Staff,Peripheral,Wireless Hub,Device Pairing,MeshConnect SaaS,1/1/2024,1
CUST-0116,32,Male,Concord NH,Field Technician,Peripheral,Charging Dock,Clinical Stations,FleetCharge Pro,1/1/2024,5
CUST-0004,57,Male,Portland ME,Healthcare Professional,Peripheral,Stylus Pro,E-Signature,SignFlow,1/1/2024,4
CUST-0100,31,Male,Springfield MA,IT & Technology Staff,Peripheral,Keyboard Fold,Telehealth Setup,AdminFlow SaaS,1/1/2024,1
CUST-0129,24,Female,Concord NH,Student / Academic,Peripheral,Stylus Pro,E-Signature,NoteStream SaaS,1/1/2024,1
CUST-0203,54,Female,Springfield MA,Practice Manager,Tablet,Tab Studio,Creative Workflow,DataViz Suite,1/2/2024,1
CUST-0250,41,Female,Burlington VT,Clinical Administrator,Tablet,Tab Studio,Data Visualisation,DesignHub SaaS,1/2/2024,2
CUST-0115,34,Female,Providence RI,Research Scientist,Smart Watch,Pulse Elite,Fitness Tracking,FitCore SaaS,1/2/2024,3
CUST-0299,45,Female,Hartford CT,Clinical Administrator,Peripheral,Charging Dock,Fleet Management,PowerDesk SaaS,1/2/2024,5
CUST-0170,24,Female,Concord NH,Field Technician,Peripheral,Keyboard Fold,Telehealth Setup,TeleSetup Pro,1/2/2024,2
CUST-0091,42,Female,Springfield MA,Healthcare Professional,Tablet,Tab Studio,Remote Diagnosis,DiagnosticAI,1/2/2024,2
CUST-0368,42,Male,Providence RI,Healthcare Professional,Peripheral,Charging Dock,Fleet Management,PowerDesk SaaS,1/2/2024,5
CUST-0267,46,Male,Hartford CT,IT & Technology Staff,Tablet,Tab Pro 12,Patient Education,EduHealth SaaS,1/2/2024,1
CUST-0256,44,Female,Burlington VT,Patient / Consumer,Peripheral,BioSensor Band,Vitals Streaming,BioStream API,1/3/2024,1
CUST-0223,44,Female,Providence RI,Clinical Administrator,Peripheral,Wireless Hub,Device Pairing,MeshConnect SaaS,1/3/2024,4
CUST-0153,25,Male,Bridgeport CT,Field Technician,Peripheral,BioSensor Band,Vitals Streaming,BioStream API,1/3/2024,6
CUST-0028,36,Male,Portland ME,IT & Technology Staff,Peripheral,Wireless Hub,Data Aggregation,MeshConnect SaaS,1/3/2024,2
CUST-0247,39,Female,Hartford CT,Practice Manager,Peripheral,Wireless Hub,Clinic Network,MeshConnect SaaS,1/3/2024,2
CUST-0070,32,Male,Bridgeport CT,Clinical Administrator,Peripheral,Charging Dock,Multi-Device Charging,PowerDesk SaaS,1/3/2024,5
CUST-0163,46,Male,Concord NH,Research Scientist,Smart Watch,Pulse Elite,Fitness Tracking,FitCore SaaS,1/3/2024,3
CUST-0054,43,Male,Springfield MA,Clinical Administrator,Peripheral,Privacy Shield,Secure Display,SecureView SaaS,1/3/2024,1
CUST-0075,18,Non-binary,Hartford CT,Patient / Consumer,Tablet,Tab Pro 12,Clinical Documentation,ClinicalOS,1/3/2024,1
CUST-0114,47,Prefer not to say,Providence RI,Field Technician,Tablet,Tab Compact,Field Data Entry,InvTrack Pro,1/3/2024,1
CUST-0242,29,Male,Springfield MA,Field Technician,Peripheral,Charging Dock,Multi-Device Charging,PowerDesk SaaS,1/3/2024,4
CUST-0338,35,Female,Manchester NH,Clinical Administrator,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/4/2024,1
CUST-0045,28,Male,Portland ME,Patient / Consumer,Peripheral,BioSensor Band,Continuous Glucose Monitor,VitalsNet SaaS,1/4/2024,2
CUST-0396,21,Female,Worcester MA,Student / Academic,Peripheral,BioSensor Band,Continuous Glucose Monitor,BioStream API,1/4/2024,1
CUST-0367,25,Female,Springfield MA,Student / Academic,Tablet,Tab Compact,Field Data Entry,FieldOps SaaS,1/4/2024,4
CUST-0041,63,Female,Bridgeport CT,Patient / Consumer,Peripheral,BioSensor Band,Remote Monitoring,VitalsNet SaaS,1/4/2024,3
CUST-0250,41,Female,Burlington VT,Clinical Administrator,Smart Watch,Pulse Sport,Fitness Tracking,WellnessCloud,1/4/2024,1
CUST-0346,44,Female,Bridgeport CT,Healthcare Professional,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/4/2024,2
CUST-0206,27,Female,Springfield MA,Research Scientist,Peripheral,BioSensor Band,Vitals Streaming,BioStream API,1/4/2024,1
CUST-0118,33,Male,Manchester NH,Patient / Consumer,Peripheral,BioSensor Band,Remote Monitoring,BioStream API,1/4/2024,1
CUST-0109,44,Female,Springfield MA,Healthcare Professional,Smart Watch,Pulse Elite,Remote Patient Check-in,FitCore SaaS,1/4/2024,1
CUST-0386,31,Male,Manchester NH,Field Technician,Tablet,Tab Pro 12,Patient Education,TeleDoc Platform,1/4/2024,2
CUST-0377,50,Female,Bridgeport CT,Healthcare Professional,Peripheral,Privacy Shield,Secure Display,SecureView SaaS,1/4/2024,1
